"Source";"Target";"Weight"
"Rora";"Clasp1";"0.508"
"Clasp1";"Acaca";"0.608"
"Clasp1";"Cdk12";"0.545"
"Clasp1";"Prkar1a";"0.537"
"Clasp1";"Jarid2";"0.53"
"Pde4d";"Clasp1";"0.5"
"Clasp1";"Kidins220";"0.515"
"Clasp1";"Immp2l";"0.516"
"Clasp1";"Nova1";"0.581"
"Clasp1";"Akap6";"0.611"
"Clasp1";"Ttc7b";"0.538"
"Clasp1";"Ddx24";"0.595"
"Meg3";"Clasp1";"0.552"
"Clasp1";"Oxct1";"0.645"
"Ctnnd2";"Clasp1";"0.525"
"Cntn1";"Clasp1";"0.676"
"Slc38a1";"Clasp1";"0.56"
"Clasp1";"Pi4ka";"0.582"
"Ttc3";"Clasp1";"0.622"
"Pde10a";"Clasp1";"0.579"
"Pja2";"Clasp1";"0.531"
"Clasp1";"Impact";"0.53"
"Clasp1";"Mapre2";"0.68"
"Clasp1";"Wdr7";"0.724"
"ENSMUSG00000041670";"Clasp1";"0.549"
"Clasp1";"ENSMUSG00000005506";"0.501"
"Dpp10";"Ryr3";"0.513"
"Dpp10";"Il1rapl1";"0.537"
"Dpp10";"Il1rapl2";"0.589"
"Dpp10";"Lingo2";"0.576"
"Kcnd2";"Dpp10";"0.501"
"Dpp10";"Slc35f1";"0.511"
"Nrg1";"Dpp10";"0.518"
"Nrg3";"Dpp10";"0.517"
"Pcdh9";"Dpp10";"0.567"
"Dpp10";"Opcml";"0.545"
"Dpp10";"Wdr7";"0.529"
"Mgat5";"Upp2";"0.565"
"Mgat5";"Ryr3";"0.597"
"Mgat5";"Frmd5";"0.548"
"Mgat5";"Tenm1";"0.502"
"Mgat5";"Rtl4";"0.506"
"Mgat5";"Vav3";"0.582"
"Ank2";"Mgat5";"0.603"
"Mgat5";"Lingo2";"0.52"
"Mgat5";"Sh3gl2";"0.571"
"Mgat5";"Agbl4";"0.526"
"Mgat5";"Macf1";"0.501"
"Mgat5";"Rsrp1";"0.531"
"Mgat5";"Camta1";"0.508"
"Magi2";"Mgat5";"0.551"
"Mgat5";"Caln1";"0.545"
"Mgat5";"Ica1";"0.515"
"Mgat5";"Tmem178b";"0.515"
"Ctnna2";"Mgat5";"0.523"
"Mgat5";"Dlg2";"0.501"
"Mgat5";"Syne1";"0.533"
"Mgat5";"Slc35f1";"0.58"
"Fam155a";"Mgat5";"0.536"
"Mgat5";"Nrg1";"0.548"
"Mgat5";"Grid1";"0.525"
"Nrg3";"Mgat5";"0.594"
"Pcdh9";"Mgat5";"0.584"
"Mgat5";"Gpc6";"0.517"
"Mgat5";"Opcml";"0.55"
"Mgat5";"Ntm";"0.53"
"Pde4d";"Mgat5";"0.606"
"Mgat5";"Akap6";"0.521"
"Meg3";"Mgat5";"0.528"
"Mgat5";"Plcxd3";"0.505"
"Mgat5";"Cntn1";"0.518"
"Mgat5";"Rbfox1";"0.546"
"Dscam";"Mgat5";"0.522"
"Mgat5";"Pde10a";"0.558"
"Mgat5";"Wdr7";"0.518"
"Mgat5";"ENSMUSG00000041670";"0.529"
"Zcchc7";"Ccnt2";"0.51"
"Frmd4a";"R3hdm1";"0.502"
"Snhg11";"R3hdm1";"0.587"
"Nlgn1";"R3hdm1";"0.504"
"Nbea";"R3hdm1";"0.526"
"Ank2";"R3hdm1";"0.513"
"Zcchc7";"R3hdm1";"0.533"
"Macf1";"R3hdm1";"0.511"
"Magi2";"R3hdm1";"0.539"
"R3hdm1";"Ankrd17";"0.522"
"R3hdm1";"Fry";"0.515"
"Exoc4";"R3hdm1";"0.508"
"Ccser1";"R3hdm1";"0.602"
"Ctnna2";"R3hdm1";"0.51"
"Lrrtm4";"R3hdm1";"0.507"
"Ube3a";"R3hdm1";"0.571"
"Snhg14";"R3hdm1";"0.549"
"Dlg2";"R3hdm1";"0.509"
"R3hdm1";"Ank3";"0.512"
"Rmst";"R3hdm1";"0.526"
"Fam155a";"R3hdm1";"0.549"
"Kcnma1";"R3hdm1";"0.503"
"R3hdm1";"Erc2";"0.561"
"Nrg3";"R3hdm1";"0.541"
"Fgf14";"R3hdm1";"0.554"
"Ntm";"R3hdm1";"0.501"
"Snap91";"R3hdm1";"0.553"
"R3hdm1";"Tenm2";"0.562"
