"Source";"Target";"Weight"
"Dner";"Cadps";"0.547"
"Nrg3";"Dner";"0.544"
"Dner";"Atp8a2";"0.51"
"Dner";"Pcdh9";"0.584"
"Fgf14";"Dner";"0.509"
"Dner";"Ntm";"0.516"
"Dner";"Msi2";"0.526"
"Map1b";"Dner";"0.559"
"Pde4d";"Dner";"0.563"
"Mdga2";"Dner";"0.509"
"Meg3";"Dner";"0.589"
"Dner";"Trio";"0.501"
"Dner";"Ctnnd2";"0.546"
"Dner";"Asap1";"0.551"
"Dner";"Slc38a1";"0.511"
"Dner";"Rbfox1";"0.591"
"Dscam";"Dner";"0.53"
"Dlgap1";"Dner";"0.578"
"Dner";"Malat1";"0.518"
"Dner";"Ablim1";"0.507"
"Mgat5";"Agap1";"0.511"
"Frmd5";"Agap1";"0.552"
"Ank2";"Agap1";"0.56"
"Lingo2";"Agap1";"0.511"
"Agap1";"Sh3gl2";"0.512"
"Camta1";"Agap1";"0.567"
"Magi2";"Agap1";"0.515"
"Dync1i1";"Agap1";"0.518"
"Ctnna2";"Agap1";"0.508"
"Agap1";"Atp2b2";"0.539"
"Dlg2";"Agap1";"0.507"
"Fam155a";"Agap1";"0.524"
"Cadps";"Agap1";"0.577"
"Kcnma1";"Agap1";"0.512"
"Grid1";"Agap1";"0.523"
"Nrg3";"Agap1";"0.559"
"Pcdh9";"Agap1";"0.519"
"Pde4d";"Agap1";"0.55"
"Akap6";"Agap1";"0.502"
"Ctnnd2";"Agap1";"0.503"
"Rbfox1";"Agap1";"0.637"
"Dscam";"Agap1";"0.58"
"Agap1";"Ablim1";"0.507"
"ENSMUSG00000041670";"Agap1";"0.503"
"Snhg11";"Kif1a";"0.516"
"Nsf";"Kif1a";"0.506"
